Time Window,SYN Rate,SYN Percentage,Port Spread,ACK Response Rate,Source Diversity
very-short,low,minimal,a few,widespread response,highly distributed
very-short,low,minimal,a few,broad response,centralized
very-short,low,minimal,a few,broad response,moderately distributed
very-short,low,minimal,a few,broad response,highly distributed
very-short,low,minimal,a few,complete response,centralized
very-short,low,minimal,a few,complete response,moderately distributed
very-short,low,minimal,a few,complete response,highly distributed
very-short,low,minimal,several,no response,centralized
very-short,low,minimal,several,no response,moderately distributed
very-short,low,minimal,several,no response,highly distributed
very-short,low,minimal,several,minimal response,centralized
very-short,low,minimal,several,minimal response,moderately distributed
very-short,low,minimal,several,minimal response,highly distributed
very-short,low,minimal,several,partial response,centralized
very-short,low,minimal,several,partial response,moderately distributed
very-short,low,minimal,several,partial response,highly distributed
very-short,low,minimal,several,widespread response,centralized
very-short,low,minimal,several,widespread response,moderately distributed
very-short,low,minimal,several,widespread response,highly distributed
very-short,low,minimal,several,broad response,centralized
very-short,low,minimal,several,broad response,moderately distributed
very-short,low,minimal,several,broad response,highly distributed
very-short,low,minimal,several,complete response,centralized
very-short,low,minimal,several,complete response,moderately distributed
very-short,low,minimal,several,complete response,highly distributed
very-short,low,low,a few,no response,centralized
very-short,low,low,a few,no response,moderately distributed
very-short,low,low,a few,no response,highly distributed
very-short,low,low,a few,minimal response,centralized
very-short,low,low,a few,minimal response,moderately distributed
very-short,low,low,a few,minimal response,highly distributed
very-short,low,low,a few,partial response,centralized
very-short,low,low,a few,partial response,moderately distributed
very-short,low,low,a few,partial response,highly distributed
very-short,low,low,a few,widespread response,centralized
very-short,low,low,a few,widespread response,moderately distributed
very-short,low,low,a few,widespread response,highly distributed
very-short,low,low,a few,broad response,centralized
very-short,low,low,a few,broad response,moderately distributed
very-short,low,low,a few,broad response,highly distributed
very-short,low,low,a few,complete response,centralized
very-short,low,low,a few,complete response,moderately distributed
very-short,low,low,a few,complete response,highly distributed
very-short,low,low,several,no response,centralized
very-short,low,low,several,no response,moderately distributed
very-short,low,low,several,no response,highly distributed
very-short,low,low,several,minimal response,centralized
very-short,low,low,several,minimal response,moderately distributed
very-short,low,low,several,minimal response,highly distributed
very-short,low,low,several,partial response,centralized
very-short,low,low,several,partial response,moderately distributed
very-short,low,low,several,partial response,highly distributed
very-short,low,low,several,widespread response,centralized
very-short,low,low,several,widespread response,moderately distributed
very-short,low,low,several,widespread response,highly distributed
very-short,low,low,several,broad response,centralized
very-short,low,low,several,broad response,moderately distributed
very-short,low,low,several,broad response,highly distributed
very-short,low,low,several,complete response,centralized
very-short,low,low,several,complete response,moderately distributed
very-short,low,low,several,complete response,highly distributed
very-short,low,moderate,a few,no response,centralized
very-short,low,moderate,a few,no response,moderately distributed
very-short,low,moderate,a few,no response,highly distributed
very-short,low,moderate,a few,minimal response,centralized
very-short,low,moderate,a few,minimal response,moderately distributed
very-short,low,moderate,a few,minimal response,highly distributed
very-short,low,moderate,a few,partial response,centralized
very-short,low,moderate,a few,partial response,moderately distributed
very-short,low,moderate,a few,partial response,highly distributed
very-short,low,moderate,a few,widespread response,centralized
very-short,low,moderate,a few,widespread response,moderately distributed
very-short,low,moderate,a few,widespread response,highly distributed
very-short,low,moderate,a few,broad response,centralized
very-short,low,moderate,a few,broad response,moderately distributed
very-short,low,moderate,a few,broad response,highly distributed
very-short,low,moderate,a few,complete response,centralized
very-short,low,moderate,a few,complete response,moderately distributed
very-short,low,moderate,a few,complete response,highly distributed
very-short,low,moderate,several,no response,centralized
very-short,low,moderate,several,no response,moderately distributed
very-short,low,moderate,several,no response,highly distributed
very-short,low,moderate,several,minimal response,centralized
very-short,low,moderate,several,minimal response,moderately distributed
very-short,low,moderate,several,minimal response,highly distributed
very-short,low,moderate,several,partial response,centralized
very-short,low,moderate,several,partial response,moderately distributed
very-short,low,moderate,several,partial response,highly distributed
very-short,low,moderate,several,widespread response,centralized
very-short,low,moderate,several,widespread response,moderately distributed
very-short,low,moderate,several,widespread response,highly distributed
very-short,low,moderate,several,broad response,centralized
very-short,low,moderate,several,broad response,moderately distributed
very-short,low,moderate,several,broad response,highly distributed
very-short,low,moderate,several,complete response,centralized
very-short,low,moderate,several,complete response,moderately distributed
very-short,low,moderate,several,complete response,highly distributed
very-short,low,dominant,a few,no response,centralized
very-short,low,dominant,a few,no response,moderately distributed
very-short,low,dominant,a few,no response,highly distributed
very-short,low,dominant,a few,minimal response,centralized
very-short,low,dominant,a few,minimal response,moderately distributed
very-short,low,dominant,a few,minimal response,highly distributed
very-short,low,dominant,a few,partial response,centralized
very-short,low,dominant,a few,partial response,moderately distributed
very-short,low,dominant,a few,partial response,highly distributed
very-short,low,dominant,a few,widespread response,centralized
very-short,low,dominant,a few,widespread response,moderately distributed
very-short,low,dominant,a few,widespread response,highly distributed
very-short,low,dominant,a few,broad response,centralized
very-short,low,dominant,a few,broad response,moderately distributed
very-short,low,dominant,a few,broad response,highly distributed
very-short,low,dominant,a few,complete response,centralized
very-short,low,dominant,a few,complete response,moderately distributed
very-short,low,dominant,a few,complete response,highly distributed
very-short,low,dominant,several,no response,centralized
very-short,low,dominant,several,no response,moderately distributed
very-short,low,dominant,several,no response,highly distributed
very-short,low,dominant,several,minimal response,centralized
very-short,low,dominant,several,minimal response,moderately distributed
very-short,low,dominant,several,minimal response,highly distributed
very-short,low,dominant,several,partial response,centralized
very-short,low,dominant,several,partial response,moderately distributed
very-short,low,dominant,several,partial response,highly distributed
very-short,low,dominant,several,widespread response,centralized
very-short,low,dominant,several,widespread response,moderately distributed
very-short,low,dominant,several,widespread response,highly distributed
very-short,low,dominant,several,broad response,centralized
very-short,low,dominant,several,broad response,moderately distributed
very-short,low,dominant,several,broad response,highly distributed
very-short,low,dominant,several,complete response,centralized
very-short,low,dominant,several,complete response,moderately distributed
very-short,low,dominant,several,complete response,highly distributed
very-short,low,overwhelming,a few,no response,centralized
very-short,low,overwhelming,a few,no response,moderately distributed
very-short,low,overwhelming,a few,no response,highly distributed
very-short,low,overwhelming,a few,minimal response,centralized
very-short,low,overwhelming,a few,minimal response,moderately distributed
very-short,low,overwhelming,a few,minimal response,highly distributed
very-short,low,overwhelming,a few,partial response,centralized
very-short,low,overwhelming,a few,partial response,moderately distributed
very-short,low,overwhelming,a few,partial response,highly distributed
very-short,low,overwhelming,a few,widespread response,centralized
very-short,low,overwhelming,a few,widespread response,moderately distributed
very-short,low,overwhelming,a few,widespread response,highly distributed
very-short,low,overwhelming,a few,broad response,centralized
very-short,low,overwhelming,a few,broad response,moderately distributed
very-short,low,overwhelming,a few,broad response,highly distributed
very-short,low,overwhelming,a few,complete response,centralized
very-short,low,overwhelming,a few,complete response,moderately distributed
very-short,low,overwhelming,a few,complete response,highly distributed
very-short,low,overwhelming,several,no response,centralized
very-short,low,overwhelming,several,no response,moderately distributed
very-short,low,overwhelming,several,no response,highly distributed
very-short,low,overwhelming,several,minimal response,centralized
very-short,low,overwhelming,several,minimal response,moderately distributed
very-short,low,overwhelming,several,minimal response,highly distributed
very-short,low,overwhelming,several,partial response,centralized
very-short,low,overwhelming,several,partial response,moderately distributed
very-short,low,overwhelming,several,partial response,highly distributed
very-short,low,overwhelming,several,widespread response,centralized
very-short,low,overwhelming,several,widespread response,moderately distributed
very-short,low,overwhelming,several,widespread response,highly distributed
very-short,low,overwhelming,several,broad response,centralized
very-short,low,overwhelming,several,broad response,moderately distributed
very-short,low,overwhelming,several,broad response,highly distributed
very-short,low,overwhelming,several,complete response,centralized
very-short,low,overwhelming,several,complete response,moderately distributed
very-short,low,overwhelming,several,complete response,highly distributed
very-short,moderate,minimal,a few,no response,centralized
very-short,moderate,minimal,a few,no response,moderately distributed
very-short,moderate,minimal,a few,no response,highly distributed
very-short,moderate,minimal,a few,minimal response,centralized
very-short,moderate,minimal,a few,minimal response,moderately distributed
very-short,moderate,minimal,a few,minimal response,highly distributed
very-short,moderate,minimal,a few,partial response,centralized
very-short,moderate,minimal,a few,partial response,moderately distributed
very-short,moderate,minimal,a few,partial response,highly distributed
very-short,moderate,minimal,a few,widespread response,centralized
very-short,moderate,minimal,a few,widespread response,moderately distributed
very-short,moderate,minimal,a few,widespread response,highly distributed
very-short,moderate,minimal,a few,broad response,centralized
very-short,moderate,minimal,a few,broad response,moderately distributed
very-short,moderate,minimal,a few,broad response,highly distributed
very-short,moderate,minimal,a few,complete response,centralized
very-short,moderate,minimal,a few,complete response,moderately distributed
very-short,moderate,minimal,a few,complete response,highly distributed
very-short,moderate,minimal,several,no response,centralized
very-short,moderate,minimal,several,no response,moderately distributed
very-short,moderate,minimal,several,no response,highly distributed
very-short,moderate,minimal,several,minimal response,centralized
very-short,moderate,minimal,several,minimal response,moderately distributed
very-short,moderate,minimal,several,minimal response,highly distributed
very-short,moderate,minimal,several,partial response,centralized
very-short,moderate,minimal,several,partial response,moderately distributed
very-short,moderate,minimal,several,partial response,highly distributed
very-short,moderate,minimal,several,widespread response,centralized
very-short,moderate,minimal,several,widespread response,moderately distributed
very-short,moderate,minimal,several,widespread response,highly distributed
very-short,moderate,minimal,several,broad response,centralized
very-short,moderate,minimal,several,broad response,moderately distributed
very-short,moderate,minimal,several,broad response,highly distributed
very-short,moderate,minimal,several,complete response,centralized
very-short,moderate,minimal,several,complete response,moderately distributed
very-short,moderate,minimal,several,complete response,highly distributed
very-short,moderate,minimal,many,no response,centralized
very-short,moderate,minimal,many,no response,moderately distributed
very-short,moderate,minimal,many,no response,highly distributed
very-short,moderate,minimal,many,minimal response,centralized
very-short,moderate,minimal,many,minimal response,moderately distributed
very-short,moderate,minimal,many,minimal response,highly distributed
very-short,moderate,minimal,many,partial response,centralized
very-short,moderate,minimal,many,partial response,moderately distributed
very-short,moderate,minimal,many,partial response,highly distributed
very-short,moderate,minimal,many,widespread response,centralized
very-short,moderate,minimal,many,widespread response,moderately distributed
very-short,moderate,minimal,many,widespread response,highly distributed
very-short,moderate,minimal,many,broad response,centralized
very-short,moderate,minimal,many,broad response,moderately distributed
very-short,moderate,minimal,many,broad response,highly distributed
very-short,moderate,minimal,many,complete response,centralized
very-short,moderate,minimal,many,complete response,moderately distributed
very-short,moderate,minimal,many,complete response,highly distributed
very-short,moderate,minimal,broad sweep,no response,centralized
very-short,moderate,minimal,broad sweep,no response,moderately distributed
very-short,moderate,minimal,broad sweep,no response,highly distributed
very-short,moderate,minimal,broad sweep,minimal response,centralized
very-short,moderate,minimal,broad sweep,minimal response,moderately distributed
very-short,moderate,minimal,broad sweep,minimal response,highly distributed
very-short,moderate,minimal,broad sweep,partial response,centralized
very-short,moderate,minimal,broad sweep,partial response,moderately distributed
very-short,moderate,minimal,broad sweep,partial response,highly distributed
very-short,moderate,minimal,broad sweep,widespread response,centralized
very-short,moderate,minimal,broad sweep,widespread response,moderately distributed
very-short,moderate,minimal,broad sweep,widespread response,highly distributed
very-short,moderate,minimal,broad sweep,broad response,centralized
very-short,moderate,minimal,broad sweep,broad response,moderately distributed
very-short,moderate,minimal,broad sweep,broad response,highly distributed
very-short,moderate,minimal,broad sweep,complete response,centralized
very-short,moderate,minimal,broad sweep,complete response,moderately distributed
very-short,moderate,minimal,broad sweep,complete response,highly distributed
very-short,moderate,low,a few,no response,centralized
very-short,moderate,low,a few,no response,moderately distributed
very-short,moderate,low,a few,no response,highly distributed
very-short,moderate,low,a few,minimal response,centralized
very-short,moderate,low,a few,minimal response,moderately distributed
very-short,moderate,low,a few,minimal response,highly distributed
very-short,moderate,low,a few,partial response,centralized
very-short,moderate,low,a few,partial response,moderately distributed
very-short,moderate,low,a few,partial response,highly distributed
very-short,moderate,low,a few,widespread response,centralized
very-short,moderate,low,a few,widespread response,moderately distributed
very-short,moderate,low,a few,widespread response,highly distributed
very-short,moderate,low,a few,broad response,centralized
very-short,moderate,low,a few,broad response,moderately distributed
very-short,moderate,low,a few,broad response,highly distributed
very-short,moderate,low,a few,complete response,centralized
very-short,moderate,low,a few,complete response,moderately distributed
very-short,moderate,low,a few,complete response,highly distributed
very-short,moderate,low,several,no response,centralized
very-short,moderate,low,several,no response,moderately distributed
very-short,moderate,low,several,no response,highly distributed
very-short,moderate,low,several,minimal response,centralized
very-short,moderate,low,several,minimal response,moderately distributed
very-short,moderate,low,several,minimal response,highly distributed
very-short,moderate,low,several,partial response,centralized
very-short,moderate,low,several,partial response,moderately distributed
very-short,moderate,low,several,partial response,highly distributed
very-short,moderate,low,several,widespread response,centralized
very-short,moderate,low,several,widespread response,moderately distributed
very-short,moderate,low,several,widespread response,highly distributed
very-short,moderate,low,several,broad response,centralized
very-short,moderate,low,several,broad response,moderately distributed
very-short,moderate,low,several,broad response,highly distributed
very-short,moderate,low,several,complete response,centralized
very-short,moderate,low,several,complete response,moderately distributed
very-short,moderate,low,several,complete response,highly distributed
very-short,moderate,low,many,no response,centralized
very-short,moderate,low,many,no response,moderately distributed
very-short,moderate,low,many,no response,highly distributed
very-short,moderate,low,many,minimal response,centralized
very-short,moderate,low,many,minimal response,moderately distributed
very-short,moderate,low,many,minimal response,highly distributed
very-short,moderate,low,many,partial response,centralized
very-short,moderate,low,many,partial response,moderately distributed
very-short,moderate,low,many,partial response,highly distributed
very-short,moderate,low,many,widespread response,centralized
very-short,moderate,low,many,widespread response,moderately distributed
very-short,moderate,low,many,widespread response,highly distributed
very-short,moderate,low,many,broad response,centralized
very-short,moderate,low,many,broad response,moderately distributed
very-short,moderate,low,many,broad response,highly distributed
very-short,moderate,low,many,complete response,centralized
very-short,moderate,low,many,complete response,moderately distributed
very-short,moderate,low,many,complete response,highly distributed
very-short,moderate,low,broad sweep,no response,centralized
very-short,moderate,low,broad sweep,no response,moderately distributed
very-short,moderate,low,broad sweep,no response,highly distributed
very-short,moderate,low,broad sweep,minimal response,centralized
very-short,moderate,low,broad sweep,minimal response,moderately distributed
very-short,moderate,low,broad sweep,minimal response,highly distributed
very-short,moderate,low,broad sweep,partial response,centralized
very-short,moderate,low,broad sweep,partial response,moderately distributed
very-short,moderate,low,broad sweep,partial response,highly distributed
very-short,moderate,low,broad sweep,widespread response,centralized
very-short,moderate,low,broad sweep,widespread response,moderately distributed
very-short,moderate,low,broad sweep,widespread response,highly distributed
very-short,moderate,low,broad sweep,broad response,centralized
very-short,moderate,low,broad sweep,broad response,moderately distributed
very-short,moderate,low,broad sweep,broad response,highly distributed
very-short,moderate,low,broad sweep,complete response,centralized
very-short,moderate,low,broad sweep,complete response,moderately distributed
very-short,moderate,low,broad sweep,complete response,highly distributed
very-short,moderate,moderate,a few,no response,centralized
very-short,moderate,moderate,a few,no response,moderately distributed
very-short,moderate,moderate,a few,no response,highly distributed
very-short,moderate,moderate,a few,minimal response,centralized
very-short,moderate,moderate,a few,minimal response,moderately distributed
very-short,moderate,moderate,a few,minimal response,highly distributed
very-short,moderate,moderate,a few,partial response,centralized
very-short,moderate,moderate,a few,partial response,moderately distributed
very-short,moderate,moderate,a few,partial response,highly distributed
very-short,moderate,moderate,a few,widespread response,centralized
very-short,moderate,moderate,a few,widespread response,moderately distributed
very-short,moderate,moderate,a few,widespread response,highly distributed
very-short,moderate,moderate,a few,broad response,centralized
very-short,moderate,moderate,a few,broad response,moderately distributed
very-short,moderate,moderate,a few,broad response,highly distributed
very-short,moderate,moderate,a few,complete response,centralized
very-short,moderate,moderate,a few,complete response,moderately distributed
very-short,moderate,moderate,a few,complete response,highly distributed
very-short,moderate,moderate,several,no response,centralized
very-short,moderate,moderate,several,no response,moderately distributed
very-short,moderate,moderate,several,no response,highly distributed
very-short,moderate,moderate,several,minimal response,centralized
very-short,moderate,moderate,several,minimal response,moderately distributed
very-short,moderate,moderate,several,minimal response,highly distributed
very-short,moderate,moderate,several,partial response,centralized
very-short,moderate,moderate,several,partial response,moderately distributed
very-short,moderate,moderate,several,partial response,highly distributed
very-short,moderate,moderate,several,widespread response,centralized
very-short,moderate,moderate,several,widespread response,moderately distributed
very-short,moderate,moderate,several,widespread response,highly distributed
very-short,moderate,moderate,several,broad response,centralized
very-short,moderate,moderate,several,broad response,moderately distributed
very-short,moderate,moderate,several,broad response,highly distributed
very-short,moderate,moderate,several,complete response,centralized
very-short,moderate,moderate,several,complete response,moderately distributed
very-short,moderate,moderate,several,complete response,highly distributed
very-short,moderate,moderate,many,no response,centralized
very-short,moderate,moderate,many,no response,moderately distributed
very-short,moderate,moderate,many,no response,highly distributed
very-short,moderate,moderate,many,minimal response,centralized
very-short,moderate,moderate,many,minimal response,moderately distributed
very-short,moderate,moderate,many,minimal response,highly distributed
very-short,moderate,moderate,many,partial response,centralized
very-short,moderate,moderate,many,partial response,moderately distributed
very-short,moderate,moderate,many,partial response,highly distributed
very-short,moderate,moderate,many,widespread response,centralized
very-short,moderate,moderate,many,widespread response,moderately distributed
very-short,moderate,moderate,many,widespread response,highly distributed
very-short,moderate,moderate,many,broad response,centralized
very-short,moderate,moderate,many,broad response,moderately distributed
very-short,moderate,moderate,many,broad response,highly distributed
very-short,moderate,moderate,many,complete response,centralized
very-short,moderate,moderate,many,complete response,moderately distributed
very-short,moderate,moderate,many,complete response,highly distributed
very-short,moderate,moderate,broad sweep,no response,centralized
very-short,moderate,moderate,broad sweep,no response,moderately distributed
very-short,moderate,moderate,broad sweep,no response,highly distributed
very-short,moderate,moderate,broad sweep,minimal response,centralized
very-short,moderate,moderate,broad sweep,minimal response,moderately distributed
very-short,moderate,moderate,broad sweep,minimal response,highly distributed
very-short,moderate,moderate,broad sweep,partial response,centralized
very-short,moderate,moderate,broad sweep,partial response,moderately distributed
very-short,moderate,moderate,broad sweep,partial response,highly distributed
very-short,moderate,moderate,broad sweep,widespread response,centralized
very-short,moderate,moderate,broad sweep,widespread response,moderately distributed
very-short,moderate,moderate,broad sweep,widespread response,highly distributed
very-short,moderate,moderate,broad sweep,broad response,centralized
very-short,moderate,moderate,broad sweep,broad response,moderately distributed
very-short,moderate,moderate,broad sweep,broad response,highly distributed
very-short,moderate,moderate,broad sweep,complete response,centralized
very-short,moderate,moderate,broad sweep,complete response,moderately distributed
very-short,moderate,moderate,broad sweep,complete response,highly distributed
very-short,moderate,dominant,a few,no response,centralized
very-short,moderate,dominant,a few,no response,moderately distributed
very-short,moderate,dominant,a few,no response,highly distributed
very-short,moderate,dominant,a few,minimal response,centralized
very-short,moderate,dominant,a few,minimal response,moderately distributed
very-short,moderate,dominant,a few,minimal response,highly distributed
very-short,moderate,dominant,a few,partial response,centralized
very-short,moderate,dominant,a few,partial response,moderately distributed
very-short,moderate,dominant,a few,partial response,highly distributed
very-short,moderate,dominant,a few,widespread response,centralized
very-short,moderate,dominant,a few,widespread response,moderately distributed
very-short,moderate,dominant,a few,widespread response,highly distributed
very-short,moderate,dominant,a few,broad response,centralized
very-short,moderate,dominant,a few,broad response,moderately distributed
very-short,moderate,dominant,a few,broad response,highly distributed
very-short,moderate,dominant,a few,complete response,centralized
very-short,moderate,dominant,a few,complete response,moderately distributed
very-short,moderate,dominant,a few,complete response,highly distributed
very-short,moderate,dominant,several,no response,centralized
very-short,moderate,dominant,several,no response,moderately distributed
very-short,moderate,dominant,several,no response,highly distributed
very-short,moderate,dominant,several,minimal response,centralized
very-short,moderate,dominant,several,minimal response,moderately distributed
very-short,moderate,dominant,several,minimal response,highly distributed
very-short,moderate,dominant,several,partial response,centralized
very-short,moderate,dominant,several,partial response,moderately distributed
very-short,moderate,dominant,several,partial response,highly distributed
very-short,moderate,dominant,several,widespread response,centralized
very-short,moderate,dominant,several,widespread response,moderately distributed
very-short,moderate,dominant,several,widespread response,highly distributed
very-short,moderate,dominant,several,broad response,centralized
very-short,moderate,dominant,several,broad response,moderately distributed
very-short,moderate,dominant,several,broad response,highly distributed
very-short,moderate,dominant,several,complete response,centralized
very-short,moderate,dominant,several,complete response,moderately distributed
very-short,moderate,dominant,several,complete response,highly distributed
very-short,moderate,dominant,many,no response,centralized
very-short,moderate,dominant,many,no response,moderately distributed
very-short,moderate,dominant,many,no response,highly distributed
very-short,moderate,dominant,many,minimal response,centralized
very-short,moderate,dominant,many,minimal response,moderately distributed
very-short,moderate,dominant,many,minimal response,highly distributed
very-short,moderate,dominant,many,partial response,centralized
very-short,moderate,dominant,many,partial response,moderately distributed
very-short,moderate,dominant,many,partial response,highly distributed
very-short,moderate,dominant,many,widespread response,centralized
very-short,moderate,dominant,many,widespread response,moderately distributed
very-short,moderate,dominant,many,widespread response,highly distributed
very-short,moderate,dominant,many,broad response,centralized
very-short,moderate,dominant,many,broad response,moderately distributed
very-short,moderate,dominant,many,broad response,highly distributed
very-short,moderate,dominant,many,complete response,centralized
very-short,moderate,dominant,many,complete response,moderately distributed
very-short,moderate,dominant,many,complete response,highly distributed
very-short,moderate,dominant,broad sweep,no response,centralized
very-short,moderate,dominant,broad sweep,no response,moderately distributed
very-short,moderate,dominant,broad sweep,no response,highly distributed
very-short,moderate,dominant,broad sweep,minimal response,centralized
very-short,moderate,dominant,broad sweep,minimal response,moderately distributed
very-short,moderate,dominant,broad sweep,minimal response,highly distributed
very-short,moderate,dominant,broad sweep,partial response,centralized
very-short,moderate,dominant,broad sweep,partial response,moderately distributed
very-short,moderate,dominant,broad sweep,partial response,highly distributed
very-short,moderate,dominant,broad sweep,widespread response,centralized
very-short,moderate,dominant,broad sweep,widespread response,moderately distributed
very-short,moderate,dominant,broad sweep,widespread response,highly distributed
very-short,moderate,dominant,broad sweep,broad response,centralized
very-short,moderate,dominant,broad sweep,broad response,moderately distributed
very-short,moderate,dominant,broad sweep,broad response,highly distributed
very-short,moderate,dominant,broad sweep,complete response,centralized
very-short,moderate,dominant,broad sweep,complete response,moderately distributed
very-short,moderate,dominant,broad sweep,complete response,highly distributed
very-short,moderate,overwhelming,a few,no response,centralized
very-short,moderate,overwhelming,a few,no response,moderately distributed
very-short,moderate,overwhelming,a few,no response,highly distributed
very-short,moderate,overwhelming,a few,minimal response,centralized
very-short,moderate,overwhelming,a few,minimal response,moderately distributed
very-short,moderate,overwhelming,a few,minimal response,highly distributed
very-short,moderate,overwhelming,a few,partial response,centralized
very-short,moderate,overwhelming,a few,partial response,moderately distributed
very-short,moderate,overwhelming,a few,partial response,highly distributed
very-short,moderate,overwhelming,a few,widespread response,centralized
very-short,moderate,overwhelming,a few,widespread response,moderately distributed
very-short,moderate,overwhelming,a few,widespread response,highly distributed
very-short,moderate,overwhelming,a few,broad response,centralized
very-short,moderate,overwhelming,a few,broad response,moderately distributed
very-short,moderate,overwhelming,a few,broad response,highly distributed
very-short,moderate,overwhelming,a few,complete response,centralized
very-short,moderate,overwhelming,a few,complete response,moderately distributed
very-short,moderate,overwhelming,a few,complete response,highly distributed
very-short,moderate,overwhelming,several,no response,centralized
very-short,moderate,overwhelming,several,no response,moderately distributed
very-short,moderate,overwhelming,several,no response,highly distributed
very-short,moderate,overwhelming,several,minimal response,centralized
very-short,moderate,overwhelming,several,minimal response,moderately distributed
very-short,moderate,overwhelming,several,minimal response,highly distributed
very-short,moderate,overwhelming,several,partial response,centralized
very-short,moderate,overwhelming,several,partial response,moderately distributed
very-short,moderate,overwhelming,several,partial response,highly distributed
very-short,moderate,overwhelming,several,widespread response,centralized
very-short,moderate,overwhelming,several,widespread response,moderately distributed
very-short,moderate,overwhelming,several,widespread response,highly distributed
very-short,moderate,overwhelming,several,broad response,centralized
very-short,moderate,overwhelming,several,broad response,moderately distributed
very-short,moderate,overwhelming,several,broad response,highly distributed
very-short,moderate,overwhelming,several,complete response,centralized
very-short,moderate,overwhelming,several,complete response,moderately distributed
very-short,moderate,overwhelming,several,complete response,highly distributed
very-short,moderate,overwhelming,many,no response,centralized
very-short,moderate,overwhelming,many,no response,moderately distributed
very-short,moderate,overwhelming,many,no response,highly distributed
very-short,moderate,overwhelming,many,minimal response,centralized
very-short,moderate,overwhelming,many,minimal response,moderately distributed
very-short,moderate,overwhelming,many,minimal response,highly distributed
very-short,moderate,overwhelming,many,partial response,centralized
very-short,moderate,overwhelming,many,partial response,moderately distributed
very-short,moderate,overwhelming,many,partial response,highly distributed
